,日期,标准期限说明,标准期限(年),收益率(%)
0,2021/01/04,0d,0.0,0.6282
1,2021/01/04,1m,0.08,1.5995
2,2021/01/04,2m,0.17,2.1496
3,2021/01/04,3m,0.25,2.1518
4,2021/01/04,6m,0.5,2.3646
5,2021/01/04,9m,0.75,2.4456
6,2021/01/04,1y,1.0,2.4952
7,2021/01/04,2y,2.0,2.7672
8,2021/01/04,3y,3.0,2.8784
9,2021/01/04,5y,5.0,2.9961
10,2021/01/04,7y,7.0,3.2124
11,2021/01/04,10y,10.0,3.178
12,2021/01/04,15y,15.0,3.5695
13,2021/01/04,20y,20.0,3.691
14,2021/01/04,30y,30.0,3.7593
15,2021/01/04,40y,40.0,3.7933
16,2021/01/04,50y,50.0,3.82
17,2021/01/05,0d,0.0,0.6532
18,2021/01/05,1m,0.08,1.5995
19,2021/01/05,2m,0.17,2.1026
20,2021/01/05,3m,0.25,2.1029
21,2021/01/05,6m,0.5,2.3465
22,2021/01/05,9m,0.75,2.4218
23,2021/01/05,1y,1.0,2.4714
24,2021/01/05,2y,2.0,2.7167
25,2021/01/05,3y,3.0,2.84
26,2021/01/05,5y,5.0,2.9459
27,2021/01/05,7y,7.0,3.175
28,2021/01/05,10y,10.0,3.1305
29,2021/01/05,15y,15.0,3.5272
30,2021/01/05,20y,20.0,3.6487
31,2021/01/05,30y,30.0,3.7222
32,2021/01/05,40y,40.0,3.7647
33,2021/01/05,50y,50.0,3.8
34,2021/01/06,0d,0.0,0.5402
35,2021/01/06,1m,0.08,1.4967
36,2021/01/06,2m,0.17,1.9998
37,2021/01/06,3m,0.25,2.0034
38,2021/01/06,6m,0.5,2.2397
39,2021/01/06,9m,0.75,2.3183
40,2021/01/06,1y,1.0,2.4109
41,2021/01/06,2y,2.0,2.6993
42,2021/01/06,3y,3.0,2.7911
43,2021/01/06,5y,5.0,2.9335
44,2021/01/06,7y,7.0,3.145
45,2021/01/06,10y,10.0,3.1256
46,2021/01/06,15y,15.0,3.5235
47,2021/01/06,20y,20.0,3.645
48,2021/01/06,30y,30.0,3.7197
49,2021/01/06,40y,40.0,3.7585
50,2021/01/06,50y,50.0,3.79
51,2021/01/07,0d,0.0,0.8452
52,2021/01/07,1m,0.08,1.4967
53,2021/01/07,2m,0.17,1.9515
54,2021/01/07,3m,0.25,1.9879
55,2021/01/07,6m,0.5,2.21
56,2021/01/07,9m,0.75,2.2747
57,2021/01/07,1y,1.0,2.3568
58,2021/01/07,2y,2.0,2.6348
59,2021/01/07,3y,3.0,2.768
60,2021/01/07,5y,5.0,2.9252
61,2021/01/07,7y,7.0,3.13
62,2021/01/07,10y,10.0,3.1256
63,2021/01/07,15y,15.0,3.5235
64,2021/01/07,20y,20.0,3.645
65,2021/01/07,30y,30.0,3.7198
66,2021/01/07,40y,40.0,3.761
67,2021/01/07,50y,50.0,3.795
68,2021/01/08,0d,0.0,0.8892
69,2021/01/08,1m,0.08,1.5448
70,2021/01/08,2m,0.17,1.8855
71,2021/01/08,3m,0.25,1.897
72,2021/01/08,6m,0.5,2.1675
73,2021/01/08,9m,0.75,2.2548
74,2021/01/08,1y,1.0,2.3568
75,2021/01/08,2y,2.0,2.6197
76,2021/01/08,3y,3.0,2.7768
77,2021/01/08,5y,5.0,2.9471
78,2021/01/08,7y,7.0,3.1525
79,2021/01/08,10y,10.0,3.1456
80,2021/01/08,15y,15.0,3.5422
81,2021/01/08,20y,20.0,3.6637
82,2021/01/08,30y,30.0,3.7372
83,2021/01/08,40y,40.0,3.7747
84,2021/01/08,50y,50.0,3.805
85,2021/01/11,0d,0.0,1.1392
86,2021/01/11,1m,0.08,1.5448
87,2021/01/11,2m,0.17,1.7778
88,2021/01/11,3m,0.25,1.8756
89,2021/01/11,6m,0.5,2.1172
90,2021/01/11,9m,0.75,2.2005
91,2021/01/11,1y,1.0,2.3653
92,2021/01/11,2y,2.0,2.6282
93,2021/01/11,3y,3.0,2.7939
94,2021/01/11,5y,5.0,2.9682
95,2021/01/11,7y,7.0,3.17
96,2021/01/11,10y,10.0,3.1632
97,2021/01/11,15y,15.0,3.5572
98,2021/01/11,20y,20.0,3.6787
99,2021/01/11,30y,30.0,3.7496
100,2021/01/11,40y,40.0,3.7834
101,2021/01/11,50y,50.0,3.81
102,2021/01/12,0d,0.0,1.1892
103,2021/01/12,1m,0.08,1.5448
104,2021/01/12,2m,0.17,1.8197
105,2021/01/12,3m,0.25,1.9029
106,2021/01/12,6m,0.5,2.13
107,2021/01/12,9m,0.75,2.1711
108,2021/01/12,1y,1.0,2.335
109,2021/01/12,2y,2.0,2.597
110,2021/01/12,3y,3.0,2.7499
111,2021/01/12,5y,5.0,2.9452
112,2021/01/12,7y,7.0,3.1476
113,2021/01/12,10y,10.0,3.1457
114,2021/01/12,15y,15.0,3.5436
115,2021/01/12,20y,20.0,3.6651
116,2021/01/12,30y,30.0,3.7398
117,2021/01/12,40y,40.0,3.7785
118,2021/01/12,50y,50.0,3.81
119,2021/01/13,0d,0.0,1.2892
120,2021/01/13,1m,0.08,1.517
121,2021/01/13,2m,0.17,1.7919
122,2021/01/13,3m,0.25,1.8825
123,2021/01/13,6m,0.5,2.0814
124,2021/01/13,9m,0.75,2.133
125,2021/01/13,1y,1.0,2.2914
126,2021/01/13,2y,2.0,2.5478
127,2021/01/13,3y,3.0,2.6975
128,2021/01/13,5y,5.0,2.8987
129,2021/01/13,7y,7.0,3.1105
130,2021/01/13,10y,10.0,3.1157
131,2021/01/13,15y,15.0,3.5187
132,2021/01/13,20y,20.0,3.6402
133,2021/01/13,30y,30.0,3.7201
134,2021/01/13,40y,40.0,3.7611
135,2021/01/13,50y,50.0,3.795
136,2021/01/14,0d,0.0,1.3495
137,2021/01/14,1m,0.08,1.509
138,2021/01/14,2m,0.17,1.7901
139,2021/01/14,3m,0.25,1.8529
140,2021/01/14,6m,0.5,2.0441
141,2021/01/14,9m,0.75,2.1821
142,2021/01/14,1y,1.0,2.3405
143,2021/01/14,2y,2.0,2.5976
144,2021/01/14,3y,3.0,2.7305
145,2021/01/14,5y,5.0,2.895
146,2021/01/14,7y,7.0,3.0918
147,2021/01/14,10y,10.0,3.1059
148,2021/01/14,15y,15.0,3.5075
149,2021/01/14,20y,20.0,3.629
150,2021/01/14,30y,30.0,3.7076
151,2021/01/14,40y,40.0,3.7498
152,2021/01/14,50y,50.0,3.785
153,2021/01/15,0d,0.0,1.4125
154,2021/01/15,1m,0.08,1.559
155,2021/01/15,2m,0.17,1.8503
156,2021/01/15,3m,0.25,1.8529
157,2021/01/15,6m,0.5,2.066
158,2021/01/15,9m,0.75,2.2259
159,2021/01/15,1y,1.0,2.3843
160,2021/01/15,2y,2.0,2.681
161,2021/01/15,3y,3.0,2.7875
162,2021/01/15,5y,5.0,2.9634
163,2021/01/15,7y,7.0,3.1478
164,2021/01/15,10y,10.0,3.1508
165,2021/01/15,15y,15.0,3.5473
166,2021/01/15,20y,20.0,3.6688
167,2021/01/15,30y,30.0,3.7423
168,2021/01/15,40y,40.0,3.7747
169,2021/01/15,50y,50.0,3.8
170,2021/01/18,0d,0.0,1.7125
171,2021/01/18,1m,0.08,1.734
172,2021/01/18,2m,0.17,1.9469
173,2021/01/18,3m,0.25,1.9013
174,2021/01/18,6m,0.5,2.125
175,2021/01/18,9m,0.75,2.2955
176,2021/01/18,1y,1.0,2.45
177,2021/01/18,2y,2.0,2.7428
178,2021/01/18,3y,3.0,2.8422
179,2021/01/18,5y,5.0,3.0078
180,2021/01/18,7y,7.0,3.1749
181,2021/01/18,10y,10.0,3.1658
182,2021/01/18,15y,15.0,3.5585
183,2021/01/18,20y,20.0,3.68
184,2021/01/18,30y,30.0,3.7496
185,2021/01/18,40y,40.0,3.7809
186,2021/01/18,50y,50.0,3.805
187,2021/01/19,0d,0.0,1.8375
188,2021/01/19,1m,0.08,1.8838
189,2021/01/19,2m,0.17,2.0283
190,2021/01/19,3m,0.25,2.0313
191,2021/01/19,6m,0.5,2.1703
192,2021/01/19,9m,0.75,2.3407
193,2021/01/19,1y,1.0,2.4859
194,2021/01/19,2y,2.0,2.7234
195,2021/01/19,3y,3.0,2.8272
196,2021/01/19,5y,5.0,2.993
197,2021/01/19,7y,7.0,3.1601
198,2021/01/19,10y,10.0,3.1609
199,2021/01/19,15y,15.0,3.5548
200,2021/01/19,20y,20.0,3.6763
201,2021/01/19,30y,30.0,3.7472
202,2021/01/19,40y,40.0,3.7747
203,2021/01/19,50y,50.0,3.795
204,2021/01/20,0d,0.0,1.9375
205,2021/01/20,1m,0.08,1.9518
206,2021/01/20,2m,0.17,2.0118
207,2021/01/20,3m,0.25,2.0513
208,2021/01/20,6m,0.5,2.175
209,2021/01/20,9m,0.75,2.3302
210,2021/01/20,1y,1.0,2.47
211,2021/01/20,2y,2.0,2.6711
212,2021/01/20,3y,3.0,2.8014
213,2021/01/20,5y,5.0,2.9584
214,2021/01/20,7y,7.0,3.1491
215,2021/01/20,10y,10.0,3.161
216,2021/01/20,15y,15.0,3.5497
217,2021/01/20,20y,20.0,3.6712
218,2021/01/20,30y,30.0,3.7369
219,2021/01/20,40y,40.0,3.7671
220,2021/01/20,50y,50.0,3.79
221,2021/01/21,0d,0.0,1.9675
222,2021/01/21,1m,0.08,1.9686
223,2021/01/21,2m,0.17,2.0083
224,2021/01/21,3m,0.25,2.0318
225,2021/01/21,6m,0.5,2.1555
226,2021/01/21,9m,0.75,2.3098
227,2021/01/21,1y,1.0,2.4475
228,2021/01/21,2y,2.0,2.6365
229,2021/01/21,3y,3.0,2.76
230,2021/01/21,5y,5.0,2.9244
231,2021/01/21,7y,7.0,3.1216
232,2021/01/21,10y,10.0,3.1335
233,2021/01/21,15y,15.0,3.5274
234,2021/01/21,20y,20.0,3.6489
235,2021/01/21,30y,30.0,3.7198
236,2021/01/21,40y,40.0,3.7585
237,2021/01/21,50y,50.0,3.79
238,2021/01/22,0d,0.0,1.8305
239,2021/01/22,1m,0.08,1.8951
240,2021/01/22,2m,0.17,2.0083
241,2021/01/22,3m,0.25,2.0316
242,2021/01/22,6m,0.5,2.1355
243,2021/01/22,9m,0.75,2.2681
244,2021/01/22,1y,1.0,2.4525
245,2021/01/22,2y,2.0,2.6464
246,2021/01/22,3y,3.0,2.7645
247,2021/01/22,5y,5.0,2.9373
248,2021/01/22,7y,7.0,3.1112
249,2021/01/22,10y,10.0,3.1185
250,2021/01/22,15y,15.0,3.5178
251,2021/01/22,20y,20.0,3.6393
252,2021/01/22,30y,30.0,3.7156
253,2021/01/22,40y,40.0,3.7552
254,2021/01/22,50y,50.0,3.7875
255,2021/01/25,0d,0.0,1.8445
256,2021/01/25,1m,0.08,1.8951
257,2021/01/25,2m,0.17,2.05
258,2021/01/25,3m,0.25,2.0525
259,2021/01/25,6m,0.5,2.1492
260,2021/01/25,9m,0.75,2.2747
261,2021/01/25,1y,1.0,2.4911
262,2021/01/25,2y,2.0,2.6688
263,2021/01/25,3y,3.0,2.7844
264,2021/01/25,5y,5.0,2.9558
265,2021/01/25,7y,7.0,3.1325
266,2021/01/25,10y,10.0,3.1323
267,2021/01/25,15y,15.0,3.5268
268,2021/01/25,20y,20.0,3.6483
269,2021/01/25,30y,30.0,3.7199
270,2021/01/25,40y,40.0,3.7558
271,2021/01/25,50y,50.0,3.7845
272,2021/01/26,0d,0.0,2.1205
273,2021/01/26,1m,0.08,2.1251
274,2021/01/26,2m,0.17,2.1989
275,2021/01/26,3m,0.25,2.2014
276,2021/01/26,6m,0.5,2.2589
277,2021/01/26,9m,0.75,2.3844
278,2021/01/26,1y,1.0,2.5575
279,2021/01/26,2y,2.0,2.7373
280,2021/01/26,3y,3.0,2.8433
281,2021/01/26,5y,5.0,2.999
282,2021/01/26,7y,7.0,3.1649
283,2021/01/26,10y,10.0,3.1585
284,2021/01/26,15y,15.0,3.5485
285,2021/01/26,20y,20.0,3.67
286,2021/01/26,30y,30.0,3.7371
287,2021/01/26,40y,40.0,3.7644
288,2021/01/26,50y,50.0,3.7845
289,2021/01/27,0d,0.0,2.1795
290,2021/01/27,1m,0.08,2.2851
291,2021/01/27,2m,0.17,2.3511
292,2021/01/27,3m,0.25,2.3514
293,2021/01/27,6m,0.5,2.3539
294,2021/01/27,9m,0.75,2.4128
295,2021/01/27,1y,1.0,2.588
296,2021/01/27,2y,2.0,2.7429
297,2021/01/27,3y,3.0,2.8415
298,2021/01/27,5y,5.0,2.9942
299,2021/01/27,7y,7.0,3.1699
300,2021/01/27,10y,10.0,3.1636
301,2021/01/27,15y,15.0,3.5497
302,2021/01/27,20y,20.0,3.6712
303,2021/01/27,30y,30.0,3.7344
304,2021/01/27,40y,40.0,3.7633
305,2021/01/27,50y,50.0,3.785
306,2021/01/28,0d,0.0,2.5795
307,2021/01/28,1m,0.08,2.5851
308,2021/01/28,2m,0.17,2.7
309,2021/01/28,3m,0.25,2.6999
310,2021/01/28,6m,0.5,2.5543
311,2021/01/28,9m,0.75,2.4652
312,2021/01/28,1y,1.0,2.6957
313,2021/01/28,2y,2.0,2.7859
314,2021/01/28,3y,3.0,2.8915
315,2021/01/28,5y,5.0,3.033
316,2021/01/28,7y,7.0,3.2
317,2021/01/28,10y,10.0,3.1961
318,2021/01/28,15y,15.0,3.5745
319,2021/01/28,20y,20.0,3.696
320,2021/01/28,30y,30.0,3.7514
321,2021/01/28,40y,40.0,3.7718
322,2021/01/28,50y,50.0,3.785
323,2021/01/29,0d,0.0,2.8375
324,2021/01/29,1m,0.08,2.7871
325,2021/01/29,2m,0.17,2.8751
326,2021/01/29,3m,0.25,2.5931
327,2021/01/29,6m,0.5,2.5256
328,2021/01/29,9m,0.75,2.5146
329,2021/01/29,1y,1.0,2.6799
330,2021/01/29,2y,2.0,2.8206
331,2021/01/29,3y,3.0,2.8849
332,2021/01/29,5y,5.0,3.0006
333,2021/01/29,7y,7.0,3.18
334,2021/01/29,10y,10.0,3.1786
335,2021/01/29,15y,15.0,3.5596
336,2021/01/29,20y,20.0,3.6811
337,2021/01/29,30y,30.0,3.7391
338,2021/01/29,40y,40.0,3.7656
339,2021/01/29,50y,50.0,3.785
340,2021/02/01,0d,0.0,2.3505
341,2021/02/01,1m,0.08,2.3571
342,2021/02/01,2m,0.17,2.45
343,2021/02/01,3m,0.25,2.4501
344,2021/02/01,6m,0.5,2.4235
345,2021/02/01,9m,0.75,2.4534
346,2021/02/01,1y,1.0,2.6043
347,2021/02/01,2y,2.0,2.7555
348,2021/02/01,3y,3.0,2.8464
349,2021/02/01,5y,5.0,2.9899
350,2021/02/01,7y,7.0,3.1725
351,2021/02/01,10y,10.0,3.1712
352,2021/02/01,15y,15.0,3.5535
353,2021/02/01,20y,20.0,3.675
354,2021/02/01,30y,30.0,3.7342
355,2021/02/01,40y,40.0,3.7632
356,2021/02/01,50y,50.0,3.785
357,2021/02/02,0d,0.0,2.1505
358,2021/02/02,1m,0.08,2.2074
359,2021/02/02,2m,0.17,2.3681
360,2021/02/02,3m,0.25,2.4001
361,2021/02/02,6m,0.5,2.4001
362,2021/02/02,9m,0.75,2.416
363,2021/02/02,1y,1.0,2.6227
364,2021/02/02,2y,2.0,2.7405
365,2021/02/02,3y,3.0,2.8669
366,2021/02/02,5y,5.0,3.0102
367,2021/02/02,7y,7.0,3.1829
368,2021/02/02,10y,10.0,3.1862
369,2021/02/02,15y,15.0,3.5647
370,2021/02/02,20y,20.0,3.6862
371,2021/02/02,30y,30.0,3.7415
372,2021/02/02,40y,40.0,3.7656
373,2021/02/02,50y,50.0,3.7825
374,2021/02/03,0d,0.0,1.9005
375,2021/02/03,1m,0.08,2.1824
376,2021/02/03,2m,0.17,2.3762
377,2021/02/03,3m,0.25,2.4151
378,2021/02/03,6m,0.5,2.43
379,2021/02/03,9m,0.75,2.43
380,2021/02/03,1y,1.0,2.6938
381,2021/02/03,2y,2.0,2.8083
382,2021/02/03,3y,3.0,2.907
383,2021/02/03,5y,5.0,3.0547
384,2021/02/03,7y,7.0,3.21
385,2021/02/03,10y,10.0,3.2112
386,2021/02/03,15y,15.0,3.5859
387,2021/02/03,20y,20.0,3.7074
388,2021/02/03,30y,30.0,3.7588
389,2021/02/03,40y,40.0,3.7805
390,2021/02/03,50y,50.0,3.795
391,2021/02/04,0d,0.0,2.1005
392,2021/02/04,1m,0.08,2.2163
393,2021/02/04,2m,0.17,2.3715
394,2021/02/04,3m,0.25,2.4351
395,2021/02/04,6m,0.5,2.4772
396,2021/02/04,9m,0.75,2.4414
397,2021/02/04,1y,1.0,2.7155
398,2021/02/04,2y,2.0,2.8333
399,2021/02/04,3y,3.0,2.9206
400,2021/02/04,5y,5.0,3.0851
401,2021/02/04,7y,7.0,3.2222
402,2021/02/04,10y,10.0,3.2347
403,2021/02/04,15y,15.0,3.6037
404,2021/02/04,20y,20.0,3.7252
405,2021/02/04,30y,30.0,3.7711
406,2021/02/04,40y,40.0,3.7916
407,2021/02/04,50y,50.0,3.805
408,2021/02/05,0d,0.0,2.0005
409,2021/02/05,1m,0.08,2.2045
410,2021/02/05,2m,0.17,2.3723
411,2021/02/05,3m,0.25,2.4551
412,2021/02/05,6m,0.5,2.49
413,2021/02/05,9m,0.75,2.4518
414,2021/02/05,1y,1.0,2.7021
415,2021/02/05,2y,2.0,2.8243
416,2021/02/05,3y,3.0,2.9136
417,2021/02/05,5y,5.0,3.0695
418,2021/02/05,7y,7.0,3.2046
419,2021/02/05,10y,10.0,3.2164
420,2021/02/05,15y,15.0,3.5948
421,2021/02/05,20y,20.0,3.7163
422,2021/02/05,30y,30.0,3.7715
423,2021/02/05,40y,40.0,3.7943
424,2021/02/05,50y,50.0,3.81
425,2021/02/07,0d,0.0,1.9005
426,2021/02/07,1m,0.08,2.1989
427,2021/02/07,2m,0.17,2.3721
428,2021/02/07,3m,0.25,2.4601
429,2021/02/07,6m,0.5,2.4807
430,2021/02/07,9m,0.75,2.4424
431,2021/02/07,1y,1.0,2.6928
432,2021/02/07,2y,2.0,2.8196
433,2021/02/07,3y,3.0,2.9137
434,2021/02/07,5y,5.0,3.0775
435,2021/02/07,7y,7.0,3.1984
436,2021/02/07,10y,10.0,3.2168
437,2021/02/07,15y,15.0,3.5924
438,2021/02/07,20y,20.0,3.7139
439,2021/02/07,30y,30.0,3.7664
440,2021/02/07,40y,40.0,3.7917
441,2021/02/07,50y,50.0,3.81
442,2021/02/08,0d,0.0,1.8005
443,2021/02/08,1m,0.08,2.1577
444,2021/02/08,2m,0.17,2.3565
445,2021/02/08,3m,0.25,2.4701
446,2021/02/08,6m,0.5,2.4802
447,2021/02/08,9m,0.75,2.4314
448,2021/02/08,1y,1.0,2.6968
449,2021/02/08,2y,2.0,2.8195
450,2021/02/08,3y,3.0,2.9072
451,2021/02/08,5y,5.0,3.0922
452,2021/02/08,7y,7.0,3.2143
453,2021/02/08,10y,10.0,3.237
454,2021/02/08,15y,15.0,3.6087
455,2021/02/08,20y,20.0,3.7302
456,2021/02/08,30y,30.0,3.7787
457,2021/02/08,40y,40.0,3.7978
458,2021/02/08,50y,50.0,3.81
459,2021/02/09,0d,0.0,1.6665
460,2021/02/09,1m,0.08,2.0325
461,2021/02/09,2m,0.17,2.2861
462,2021/02/09,3m,0.25,2.2999
463,2021/02/09,6m,0.5,2.3663
464,2021/02/09,9m,0.75,2.3966
465,2021/02/09,1y,1.0,2.6772
466,2021/02/09,2y,2.0,2.7992
467,2021/02/09,3y,3.0,2.8756
468,2021/02/09,5y,5.0,3.0731
469,2021/02/09,7y,7.0,3.1965
470,2021/02/09,10y,10.0,3.2303
471,2021/02/09,15y,15.0,3.6003
472,2021/02/09,20y,20.0,3.7218
473,2021/02/09,30y,30.0,3.7686
474,2021/02/09,40y,40.0,3.7915
475,2021/02/09,50y,50.0,3.8075
476,2021/02/10,0d,0.0,1.8195
477,2021/02/10,1m,0.08,1.8575
478,2021/02/10,2m,0.17,2.2061
479,2021/02/10,3m,0.25,2.21
480,2021/02/10,6m,0.5,2.3663
481,2021/02/10,9m,0.75,2.3859
482,2021/02/10,1y,1.0,2.6559
483,2021/02/10,2y,2.0,2.8107
484,2021/02/10,3y,3.0,2.8764
485,2021/02/10,5y,5.0,3.0824
486,2021/02/10,7y,7.0,3.2157
487,2021/02/10,10y,10.0,3.2449
488,2021/02/10,15y,15.0,3.6113
489,2021/02/10,20y,20.0,3.7328
490,2021/02/10,30y,30.0,3.776
491,2021/02/10,40y,40.0,3.8027
492,2021/02/10,50y,50.0,3.8225
493,2021/02/18,0d,0.0,1.9005
494,2021/02/18,1m,0.08,1.9075
495,2021/02/18,2m,0.17,2.1017
496,2021/02/18,3m,0.25,2.1056
497,2021/02/18,6m,0.5,2.3802
498,2021/02/18,9m,0.75,2.36
499,2021/02/18,1y,1.0,2.6916
500,2021/02/18,2y,2.0,2.8416
501,2021/02/18,3y,3.0,2.9212
502,2021/02/18,5y,5.0,3.1158
503,2021/02/18,7y,7.0,3.2498
504,2021/02/18,10y,10.0,3.2831
505,2021/02/18,15y,15.0,3.6415
506,2021/02/18,20y,20.0,3.763
507,2021/02/18,30y,30.0,3.7982
508,2021/02/18,40y,40.0,3.8226
509,2021/02/18,50y,50.0,3.84
510,2021/02/19,0d,0.0,1.7753
511,2021/02/19,1m,0.08,1.8675
512,2021/02/19,2m,0.17,2.0235
513,2021/02/19,3m,0.25,2.0274
514,2021/02/19,6m,0.5,2.3302
515,2021/02/19,9m,0.75,2.3201
516,2021/02/19,1y,1.0,2.6512
517,2021/02/19,2y,2.0,2.7949
518,2021/02/19,3y,3.0,2.8922
519,2021/02/19,5y,5.0,3.079
520,2021/02/19,7y,7.0,3.2269
521,2021/02/19,10y,10.0,3.2578
522,2021/02/19,15y,15.0,3.6202
523,2021/02/19,20y,20.0,3.7417
524,2021/02/19,30y,30.0,3.7809
525,2021/02/19,40y,40.0,3.8064
526,2021/02/19,50y,50.0,3.825
527,2021/02/20,0d,0.0,1.4753
528,2021/02/20,1m,0.08,1.8147
529,2021/02/20,2m,0.17,1.9921
530,2021/02/20,3m,0.25,2.0174
531,2021/02/20,6m,0.5,2.2902
532,2021/02/20,9m,0.75,2.3006
533,2021/02/20,1y,1.0,2.6249
534,2021/02/20,2y,2.0,2.7774
535,2021/02/20,3y,3.0,2.879
536,2021/02/20,5y,5.0,3.0783
537,2021/02/20,7y,7.0,3.2275
538,2021/02/20,10y,10.0,3.2605
539,2021/02/20,15y,15.0,3.6228
540,2021/02/20,20y,20.0,3.7443
541,2021/02/20,30y,30.0,3.7834
542,2021/02/20,40y,40.0,3.8076
543,2021/02/20,50y,50.0,3.825
544,2021/02/22,0d,0.0,1.4239
545,2021/02/22,1m,0.08,1.8214
546,2021/02/22,2m,0.17,2.0111
547,2021/02/22,3m,0.25,2.0488
548,2021/02/22,6m,0.5,2.2852
549,2021/02/22,9m,0.75,2.2827
550,2021/02/22,1y,1.0,2.6225
551,2021/02/22,2y,2.0,2.7732
552,2021/02/22,3y,3.0,2.8935
553,2021/02/22,5y,5.0,3.0938
554,2021/02/22,7y,7.0,3.2361
555,2021/02/22,10y,10.0,3.2736
556,2021/02/22,15y,15.0,3.6369
557,2021/02/22,20y,20.0,3.7584
558,2021/02/22,30y,30.0,3.7984
559,2021/02/22,40y,40.0,3.8201
560,2021/02/22,50y,50.0,3.835
561,2021/02/23,0d,0.0,1.4739
562,2021/02/23,1m,0.08,1.8488
563,2021/02/23,2m,0.17,2.0101
564,2021/02/23,3m,0.25,2.0194
565,2021/02/23,6m,0.5,2.2813
566,2021/02/23,9m,0.75,2.2839
567,2021/02/23,1y,1.0,2.607
568,2021/02/23,2y,2.0,2.7675
569,2021/02/23,3y,3.0,2.8802
570,2021/02/23,5y,5.0,3.0846
571,2021/02/23,7y,7.0,3.2282
572,2021/02/23,10y,10.0,3.2635
573,2021/02/23,15y,15.0,3.6319
574,2021/02/23,20y,20.0,3.7534
575,2021/02/23,30y,30.0,3.7987
576,2021/02/23,40y,40.0,3.819
577,2021/02/23,50y,50.0,3.8325
578,2021/02/24,0d,0.0,1.4239
579,2021/02/24,1m,0.08,1.8434
580,2021/02/24,2m,0.17,1.9977
581,2021/02/24,3m,0.25,2.0
582,2021/02/24,6m,0.5,2.245
583,2021/02/24,9m,0.75,2.2763
584,2021/02/24,1y,1.0,2.5935
585,2021/02/24,2y,2.0,2.7537
586,2021/02/24,3y,3.0,2.8746
587,2021/02/24,5y,5.0,3.0738
588,2021/02/24,7y,7.0,3.2363
589,2021/02/24,10y,10.0,3.2627
590,2021/02/24,15y,15.0,3.6341
591,2021/02/24,20y,20.0,3.7556
592,2021/02/24,30y,30.0,3.8038
593,2021/02/24,40y,40.0,3.8191
594,2021/02/24,50y,50.0,3.8275
595,2021/02/25,0d,0.0,1.6149
596,2021/02/25,1m,0.08,1.7812
597,2021/02/25,2m,0.17,1.9518
598,2021/02/25,3m,0.25,1.9703
599,2021/02/25,6m,0.5,2.2363
600,2021/02/25,9m,0.75,2.2886
601,2021/02/25,1y,1.0,2.5981
602,2021/02/25,2y,2.0,2.768
603,2021/02/25,3y,3.0,2.8822
604,2021/02/25,5y,5.0,3.0934
605,2021/02/25,7y,7.0,3.2543
606,2021/02/25,10y,10.0,3.2723
607,2021/02/25,15y,15.0,3.6413
608,2021/02/25,20y,20.0,3.7628
609,2021/02/25,30y,30.0,3.8087
610,2021/02/25,40y,40.0,3.8278
611,2021/02/25,50y,50.0,3.84
612,2021/02/26,0d,0.0,1.7149
613,2021/02/26,1m,0.08,1.7312
614,2021/02/26,2m,0.17,1.9356
615,2021/02/26,3m,0.25,1.9879
616,2021/02/26,6m,0.5,2.2508
617,2021/02/26,9m,0.75,2.3001
618,2021/02/26,1y,1.0,2.6036
619,2021/02/26,2y,2.0,2.7863
620,2021/02/26,3y,3.0,2.9028
621,2021/02/26,5y,5.0,3.105
622,2021/02/26,7y,7.0,3.2618
623,2021/02/26,10y,10.0,3.2798
624,2021/02/26,15y,15.0,3.6463
625,2021/02/26,20y,20.0,3.7678
